"","ibgeID","lat","lon"
"388",1503077,-1.9282256,-47.0513157
"389",1503093,-3.8380998,-49.0977992
"390",1503101,-1.406325,-51.6427456
"391",1503200,-1.128244,-47.6199021
"392",1503309,-1.9785213,-48.9634826
"393",1503408,-1.4283738,-47.9108608
"394",1503457,-2.5592139,-47.4965462
"395",1503507,-1.7709543,-47.4399687
"396",1503606,-4.2625218,-55.9878139
"397",1503705,-5.1337224,-49.3321988
"398",1503754,-6.2196518,-57.758625
"399",1503804,-4.446173,-49.115272
"400",1503903,-2.1571381,-56.0900977
"401",1504000,-1.88664405,-49.4957013489092
"402",1504059,-2.0458692,-47.5522076
"403",1504109,-0.8346168,-47.6296312967782
"404",1504208,-5.3462821,-49.1007401
"405",1504307,-0.7666582,-47.4537818
"406",1504406,-0.7134493,-47.6985381
"407",1504422,-1.3595306,-48.3361504
"408",1504455,-3.4438388,-52.8889236
"409",1504505,-1.803202,-50.714927
"410",1504604,-2.583098,-49.504224
"411",1504703,-1.889926,-48.766765
"412",1504802,-1.9989108,-54.0727694
"413",1504901,-1.5317443,-49.2223565
"414",1504950,-2.2663093,-46.9661622
"415",1504976,-4.916221,-49.082194
"416",1505007,-1.2052428,-47.3935775
"417",1505031,-7.0374884,-55.4185904
"418",1505064,-4.2519172,-49.9524257
"419",1505106,-1.901072,-55.520812
"420",1505205,-2.0040813,-49.8596065
"421",1505304,-1.7669992,-55.868285
"422",1505403,-1.5489964,-47.1174572
"423",1505437,-6.748975,-51.0788476
"424",1505486,-3.8354195,-50.6399248
"425",1505494,-5.7423938,-48.3185533
"426",1505502,-2.99564,-47.3548942
"427",1505536,-6.0696846,-49.8903283
"428",1505551,-7.8331153,-50.0404438
"429",1505601,-1.193824,-47.324031
"430",1505635,-6.4475822,-48.8633795
"431",1505650,-3.8689529,-54.2154346
"432",1505700,-1.395873,-48.866073
"433",1505809,-1.9387118,-50.8240402
"434",1505908,-1.7502089,-52.235556
"435",1506005,-1.8072874,-53.4797942
"436",1506104,-0.9406522,-47.116728
"437",1506112,-0.8948725,-47.0049317
"438",1506138,-8.025294,-50.031687
"439",1506161,-7.3137312,-50.0465372
"440",1506187,-4.7804416,-48.06983
"441",1506195,-4.1014311,-54.9086853
"442",1506203,-0.6259282,-47.3442819
"443",1506302,-0.758444,-48.513921
"444",1506351,-1.226144,-48.295101
"445",1506401,-0.661019,-49.177139
"446",1506500,-1.36673365,-48.1290740056134
"447",1506559,-1.5220049,-46.9020697
"448",1506583,-8.8710157,-49.7171263
"449",1506609,-1.3455478,-47.5782981
"450",1506708,-9.3348334,-50.3427734
"451",1506807,-2.438489,-54.699611
"452",1506906,-0.9283904,-47.3999958
"453",1507003,-1.1522,-48.131446
"454",1507102,-0.747293,-48.024622
"455",1507151,-5.5416409,-48.7291003
"456",1507201,-1.6789331,-47.7717815
"457",1507300,-6.6386974,-51.9787582
"458",1507409,-1.1694464,-47.7974079
"459",1507458,-6.394715,-48.559169
"460",1507466,-0.8526516,-47.9224095
"461",1507474,-0.7733201,-47.1770631
"462",1507508,-5.3617017,-48.7911109
"463",1507607,-1.6116804,-47.4757551
"464",1507706,-1.7182884,-49.5319955
"465",1507755,-6.94135,-49.6993876
"466",1507805,-2.5935424,-51.948209
"467",1507904,-0.7275759,-48.5189785
"468",1507953,-2.936096,-48.9523366
"469",1507961,-1.0397924,-47.9091595
"470",1507979,-2.104435,-56.487653
"471",1508001,-2.4166306,-48.1522907
"472",1508035,-1.0765338,-46.9030822
"473",1508050,-4.700551,-55.9972165
"474",1508084,-6.7517239,-51.1507941
"475",1508100,-3.7738509,-49.6708204
"476",1508126,-3.7575266,-47.5009377
"477",1508159,-3.7185381,-53.738549
"478",1508209,-0.8546027,-48.1432873
